"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
258148333721;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Стандарт Серый";"Комплект из 3 видов плит: 116х173, 116х116 и 116х58 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6 <br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 116х173, 116х116 и 116х58 мм<br /><ul><li data-list=""bullet"">Толщина 60 мм.</li><li data-list=""bullet"">Класс бетона изделий по прочности на сжатие: В25</li><li data-list=""bullet"">Марка бетона по морозостойкости F₂200</li><li data-list=""bullet"">Водопоглощение не более 6%</li><li data-list=""bullet"">Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 13,2 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/tild3235-6533-4261-a634-333165666435/01.jpg;;;;;;Dp9KDBSPtgClRmAkMkus;;0;0;0;0
662657175651;;;;;"Классико (Б.1.КО.6) Стандарт Серый - Стандарт - Серый";;;https://static.tildacdn.com/tild3235-6533-4261-a634-333165666435/01.jpg;1550.00;;;"Коллекция:Стандарт;Цвет:Серый";;YI4KIGNI2vHvPaLOiOko;258148333721;0;0;0;0
964530962121;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Стандарт Белый";"Комплект из 3 видов плит: 116х173, 116х116 и 116х58 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6<br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 116х173, 116х116 и 116х58 мм<br /><ul><li data-list=""bullet"">Толщина 60 мм.</li><li data-list=""bullet"">Класс бетона изделий по прочности на сжатие: В25</li><li data-list=""bullet"">Марка бетона по морозостойкости F₂200</li><li data-list=""bullet"">Водопоглощение не более 6%</li><li data-list=""bullet"">Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 13,2 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/stor6264-6165-4562-b161-653962653933/45714649.jpg;;;;;;VPjA57tjLblB17dzt4Yo;;0;0;0;0
852036317131;;;;;"Классико (Б.1.КО.6) Стандарт Белый - Стандарт - Белый";;;https://static.tildacdn.com/stor6264-6165-4562-b161-653962653933/45714649.jpg;2000.00;;;"Коллекция:Стандарт;Цвет:Белый";;oPJPGhDGAKxNh0RktOjK;964530962121;0;0;0;0
878827408771;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Стандарт Черный";"Комплект из 3 видов плит: 116х173, 116х116 и 116х58 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6<br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 116х173, 116х116 и 116х58 мм<br /><ul><li data-list=""bullet"">Толщина 60 мм.</li><li data-list=""bullet"">Класс бетона изделий по прочности на сжатие: В25</li><li data-list=""bullet"">Марка бетона по морозостойкости F₂200</li><li data-list=""bullet"">Водопоглощение не более 6%</li><li data-list=""bullet"">Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 13,2 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/stor3334-3436-4031-b939-323935363633/12392399.jpg;;;;;;9SP5YXrAhaSZ5rGZACEt;;0;0;0;0
492811791001;;;;;"Классико (Б.1.КО.6) Стандарт Черный - Стандарт - Чёрный";;;https://static.tildacdn.com/stor3334-3436-4031-b939-323935363633/12392399.jpg;1950.00;;;"Коллекция:Стандарт;Цвет:Чёрный";;h9iD1r3C6d5ryg9cIGYT;878827408771;0;0;0;0
965299475641;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Стандарт Красный";"Комплект из 3 видов плит: 116х173, 116х116 и 116х58 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6<br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 172х115, 115х115 и 57х115 мм<br /><ul><li data-list=""bullet"">Толщина 60 мм.</li><li data-list=""bullet"">Класс бетона изделий по прочности на сжатие: В25</li><li data-list=""bullet"">Марка бетона по морозостойкости F₂200</li><li data-list=""bullet"">Водопоглощение не более 6%</li><li data-list=""bullet"">Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 13,2 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/stor3665-6166-4232-a466-313436373537/40075955.jpg;;;;;;yJBL8trdXGfyZhPRHTBC;;0;0;0;0
452871685811;;;;;"Классико (Б.1.КО.6) Стандарт Красный - Стандарт - Красный";;;https://static.tildacdn.com/stor3665-6166-4232-a466-313436373537/40075955.jpg;1950.00;;;"Коллекция:Стандарт;Цвет:Красный";;FElHaGc5ORJ8JmlVFtYN;965299475641;0;0;0;0
242997432291;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Стандарт Коричневый";"Комплект из 3 видов плит: 116х173, 116х116 и 116х58 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6<br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 172х115, 115х115 и 57х115 мм<br /><ul><li data-list=""bullet"">Толщина 60 мм.</li><li data-list=""bullet"">Класс бетона изделий по прочности на сжатие: В25</li><li data-list=""bullet"">Марка бетона по морозостойкости F₂200</li><li data-list=""bullet"">Водопоглощение не более 6%</li><li data-list=""bullet"">Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 13,2 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/stor3536-6633-4466-b931-336331653261/65295116.jpg;;;;;;sZ2nzlXLLAX2M9ZgvgN3;;0;0;0;0
611809234161;;;;;"Классико (Б.1.КО.6) Стандарт Коричневый - Стандарт - Коричневый";;;https://static.tildacdn.com/stor3536-6633-4466-b931-336331653261/65295116.jpg;1950.00;;;"Коллекция:Стандарт;Цвет:Коричневый";;tDNgslEMZI6NGJjiR3JL;242997432291;0;0;0;0
339496404151;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Гладкий Янтарь";"Комплект из 3 видов плит: 172х115, 115х115 и 57х115 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6<br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 172х115, 115х115 и 57х115 мм<br /><ul><li>Толщина 60 мм.</li><li>Класс бетона изделий по прочности на сжатие: В25</li><li>Марка бетона по морозостойкости F₂200</li><li>Водопоглощение не более 6%</li><li>Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 14,56 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/tild3333-3463-4864-a364-386564643733/01.jpg;;;;;;sSRHYKcGGm9xGpRCxJsr;;0;0;0;0
340249246941;;;;;"Классико (Б.1.КО.6) Гладкий Янтарь - Листопад® гладкий - Янтарь";;;https://static.tildacdn.com/tild3333-3463-4864-a364-386564643733/01.jpg;2700.00;;;"Коллекция:Листопад® гладкий;Цвет:Янтарь";;OVremMND5Gx91RX6PmXx;339496404151;0;0;0;0
920251972951;;;;"Классико - Б.1.КО.6";"Классико (Б.1.КО.6) Гладкий Хаски";"Комплект из 3 видов плит: 172х115, 115х115 и 57х115 мм<br />Толщина 60 мм";"Тротуарная плитка КЛАССИКО Б.1.КО.6<br /><br />Данная плитка имитирует средневековый камень и обеспечивает территории привлекательный и эстетичный вид.<br /><br />Комплект состоит из 3 видов плит: 172х115, 115х115 и 57х115 мм<br /><ul><li>Толщина 60 мм.</li><li>Класс бетона изделий по прочности на сжатие: В25</li><li>Марка бетона по морозостойкости F₂200</li><li>Водопоглощение не более 6%</li><li>Марка по истираемости G1</li></ul>Мы гарантируем точность соблюдения технологии производства и как следствие, высокое качество продукции.<br />Возможна отгрузка с нашего склада в Архангельске или доставка до места укладки.<br /><br />На паллете – 14,56 м2<br /><br /><strong>Стоимость указана за 1 кв.м. без учета доставки от завода производителя</strong>";https://static.tildacdn.com/stor6232-6163-4239-b837-363939643761/33329362.jpg;;;;;;eUKCtoNktsybrHR1ITC2;;0;0;0;0
